userid	newsid
1084014	100646087
2800205	100646153
99739	100548619
7069467	100650220
1204804	100646087
10913448	100652966
7650663	100650702
591421	100645485
1148444	100646680
2782340	100646153
7680675	100651130
12524946	100652966
367277	100645335
123387	100615418
8602614	100651469
1011411	100646087
2750118	100646153
8261660	100651469
4506941	100648768
2750117	100646153
4913680	100649260
922950	100643974
8434299	100651469
5175947	100649040
3715859	100647915
1698144	100646087
5693280	100640893
3840284	100647825
9031558	100651469
3377525	100637151
12803552	100651182
3709422	100651177
10337002	100653403
2044062	100646087
11706242	100653515
4173587	100640893
899789	100646112
8257579	100651270
258498	100644750
4517756	100648889
366388	100645184
12444228	100658012
5831130	100648595
1188025	100646153
82224	100645169
1500441	100646345
5194110	100596285
4285942	100648593
5809499	100648645
546825	100645485
1132334	100646087
4163895	100633200
9481954	100647672
3352873	100633200
7447143	100650220
1107235	100636362
2715021	100644772
1927679	100645962
6183418	100649537
130879	100645324
1338772	100646097
7688875	100650824
1677270	100646087
616347	100644660
7613382	100651130
4622138	100648768
2654684	100646722
4656443	100648331
4313732	100648402
995896	100646080
8441748	100651469
92885	100633200
7158396	100649503
141330	100636025
903789	100475642
7067408	100647243
9555870	100652121
114446	100645322
8295046	100651469
2667190	100637136
9469271	100651950
2728329	100646722
2734695	100646722
3343319	100633200
5094625	100648921
165342	100645322
5743122	100649537
4812462	100648830
2159371	100646164
1004057	100646722
5489547	100648366
8291818	100651469
489310	100645485
3335156	100647416
9337286	100604951
1148891	100646087
689955	100645485
4002976	100647825
8674119	100647745
1281191	100645448
1072656	100646087
5726900	100640893
8227578	100651469
5065464	100649040
672736	100645335
9152850	100647712
5820323	100649537
3016780	100647087
9702878	100647712
6292324	100648768
9939127	100653403
1113741	100646087
5712817	100649503
9935321	100653403
2124613	100646153
450493	100646087
4119783	100647825
997499	100636362
5992947	100649260
4523733	100648768
456632	100634859
1143704	100646463
7819350	100650702
63141	100644648
9008289	100651469
248022	100648994
9454933	100647672
8392141	100651469
967598	100645940
1378746	100646087
9900107	100647712
2669860	100646872
3309321	100637151
9477247	100651950
1387571	100646087
176471	100646022
860329	100646117
179195	100645322
1162532	100646153
6814	100634859
9936676	100653403
388804	100651304
9086792	100647672
1294241	100633200
3375848	100647416
8292732	100650876
1257573	100646680
853910	100645398
4618966	100648768
3664489	100646861
5829769	100648768
5360410	100649040
1444438	100646087
7081777	100650220
4029348	100647915
1617274	100646087
1273596	100646087
3236520	100645974
4362833	100640893
658645	100645485
583647	100645485
9028118	100651469
77384	100641384
7667	100637151
13023409	100658561
884646	100646153
9641378	100653219
2783466	100646722
826598	100645962
1179797	100646153
90182	100645322
3495986	100647509
2745761	100646153
2138628	100633200
1148701	100646087
2827204	100646872
1201664	100646087
5903399	100649537
993802	100646153
2695971	100646872
849496	100645962
4844279	100649040
12013	100438224
3706867	100647825
10678966	100651395
4574677	100648768
3765918	100647915
13023541	100653955
1039630	100646153
13003233	100658561
566975	100646004
3341766	100637151
2082759	100646087
3590052	100647087
10101709	100653403
394350	100645428
8260787	100651469
3695483	100633200
1655223	100646147
2817212	100642309
5058354	100649202
3698439	100647915
3634657	100647710
8355786	100642630
603021	100645962
1123068	100646087
4915798	100586036
11379745	100656239
5351246	100649202
1673327	100646087
1105694	100646087
5727332	100649537
4862820	100648768
4911909	100649040
2890201	100646153
2616712	100633200
8313175	100651469
3310668	100647416
11480876	100656239
2734503	100633200
11360187	100656296
7096119	100650220
439033	100645485
7571074	100651130
7291133	100650220
5587269	100648768
4897607	100649040
11467614	100655938
446387	100645428
12809435	100657261
2297346	100646087
6727484	100649537
1900558	100646680
5300018	100648768
1458720	100646153
1082299	100646087
1752524	100646087
10050388	100653403
603681	100646112
7172016	100650220
1040256	100646153
2343056	100646680
2716043	100646463
4571914	100648768
3312289	100633200
3086099	100646058
721538	100645448
10202297	100653403
4055054	100647825
7784200	100650220
7075983	100650220
1942974	100646087
7182710	100650220
6251265	100649646
1373032	100646087
11902840	100657261
3570729	100647710
1070517	100646153
959520	100646153
9072988	100651469
7070008	100650220
4555608	100648768
956349	100646087
2722463	100646722
5868125	100649537
1857129	100646087
2819228	100646872
2552517	100645428
7602280	100651099
4197484	100648593
4280312	100648735
2599671	100646087
12033	100644648
1906079	100646087
3737551	100647915
2835291	100646872
1447493	100636362
1489931	100646087
5981651	100648735
4203112	100637175
2549604	100646680
5067197	100582796
975485	100646087
9015957	100651928
4088389	100653458
9275006	100651950
4901315	100649202
7390003	100649803
3118466	100646872
3750646	100648031
383021	100645428
2703203	100637136
141458	100637151
9018077	100651469
1500110	100646153
2918893	100633200
6322406	100649537
5939817	100649537
5731569	100649537
1505983	100646087
2966601	100633200
2314121	100646087
4881093	100640893
4978739	100586036
11072283	100651182
828760	100645925
951346	100646087
7631197	100650220
1077548	100646087
622296	100633200
8197534	100647712
10027277	100653403
1225607	100637151
11985407	100657261
457462	100646087
2289125	100645940
7086284	100650220
534987	100645485
442966	100645398
1002696	100646153
3882486	100647825
11091377	100654603
4498637	100648768
9903590	100653403
5569924	100648976
3645988	100647006
7603954	100650702
1868405	100646087
3325289	100646821
12790082	100658441
954693	100646087
614061	100634859
10797728	100654463
8292389	100651469
8341297	100651469
2254752	100646087
1316455	100646680
11104573	100655351
607685	100645448
9952571	100653403
3486447	100647825
257046	100637151
1780958	100646680
8729795	100651469
3329924	100637136
2830747	100636801
3133594	100646872
4876432	100633200
9246709	100651847
8392358	100645740
432281	100645962
3733358	100633200
7627604	100650220
3552072	100647842
699217	100637151
769636	100646087
8247131	100651469
2536509	100646680
4473373	100633200
785553	100645485
462743	100633200
2784414	100637151
1162708	100646153
9626959	100652686
10636133	100654204
2714766	100646722
9626951	100652686
11080612	100655938
3368777	100637151
6378903	100649537
325664	100645448
8609661	100650702
8356660	100651469
2670317	100646153
8624511	100651469
1138081	100645962
8414303	100651469
950921	100646153
1064052	100646087
1015992	100646153
5923686	100637175
9553548	100652075
1617484	100646080
4941297	100648768
4844641	100649040
3741481	100642301
5483159	100649040
11919808	100657261
1097868	100646153
2839655	100637136
9458235	100651950
8195495	100651469
3748518	100647915
4566964	100648768
1433827	100646695
8435493	100651469
5102961	100649040
3672965	100647416
5931309	100650010
457262	100645940
3727908	100637151
1201415	100646153
7069867	100650220
7650022	100650220
276073	100641370
7348545	100650220
4852684	100637175
2379359	100646087
2697699	100637151
632759	100645495
8106538	100651130
12969228	100654705
9686098	100652655
6542815	100649537
457128	100633200
11354975	100656239
9010209	100651469
1265677	100646680
8648041	100647712
7096588	100650220
3379012	100647190
8284120	100651469
4875279	100649040
7638811	100646555
922556	100602245
9901524	100653403
4954638	100637175
1426450	100646153
4176468	100633200
660326	100645962
3698927	100647915
449657	100645335
4954325	100649202
704990	100644772
5609362	100649202
937238	100644655
990604	100646087
4093108	100647914
3241402	100646722
12823762	100651182
617417	100633200
593283	100645485
7091585	100650220
10806572	100654434
7731259	100650220
246438	100645337
488934	100645398
3755278	100647825
6900256	100649503
1097698	100646087
10621238	100654204
6275320	100649503
1623069	100646087
60073	100637151
12007402	100657412
5144617	100649040
5852127	100633200
12956588	100658561
4501171	100648768
9043761	100651469
434801	100634859
1341617	100646087
4881953	100649040
4846344	100649040
8563689	100651469
7176561	100650220
518470	100637151
3431064	100647237
5753906	100645448
651191	100645940
2843685	100646153
3345598	100647710
4497732	100648768
8073048	100646555
16915	100644648
4562280	100637175
3336152	100637151
943239	100646087
10050317	100653302
3342241	100633200
4328871	100648598
689145	100645485
7081577	100650220
1182270	100646153
2767779	100646153
6279785	100649646
2666650	100646922
478620	100633200
5344670	100649202
2804421	100646812
7760721	100650220
2654493	100646087
767399	100645448
37368	100644648
899214	100645448
8998025	100651469
5856311	100649537
884284	100646117
4526030	100648768
11432558	100656239
9905228	100653403
1565684	100646680
666071	100645962
4527345	100637175
4831610	100648768
4483759	100648598
11401670	100656239
1491705	100646087
9933930	100653403
11389356	100656239
12391877	100657261
1379940	100637151
506162	100633200
12697352	100653955
5825203	100649646
2701340	100647057
435868	100634859
12792485	100658441
7828020	100650702
860302	100645527
6560737	100650010
9055991	100647672
1386719	100646153
2932325	100637151
646336	100645550
4844259	100649202
5533801	100649202
1308079	100642302
595285	100643576
2725970	100646722
18370	100637151
1634198	100645940
9818625	100652655
10238492	100647712
9522483	100650231
777912	100645518
12977544	100658555
7591143	100650702
843848	100637151
8295292	100651469
7701053	100650702
5956037	100645359
4883590	100649202
5902354	100649537
549455	100643377
12372192	100651182
2379988	100646087
4888920	100649040
976648	100646087
9997082	100652773
1177942	100637151
3483413	100647710
4182983	100648598
245644	100645483
143413	100637151
11059540	100655380
3345841	100647243
8329528	100650702
2119725	100646680
9514389	100528775
2974750	100637136
755002	100645485
1679899	100646164
434028	100645485
8227745	100651469
370212	100645335
8229582	100651469
8242108	100651469
4626848	100648768
2296385	100646080
2783860	100646872
461195	100645485
725076	100637151
2724140	100637151
866226	100645184
4923784	100648768
1533171	100637151
1403776	100646153
5731770	100649537
382396	100645355
8266576	100651130
543999	100645962
683863	100644250
3865354	100647825
5727978	100633200
563346	100645428
8316615	100651469
12790704	100658441
3478734	100647416
2660164	100646812
9020046	100651469
1690659	100646080
579009	100645962
12681673	100652966
2872288	100646153
2794534	100646872
3330423	100647825
7091441	100650220
8226834	100651469
8192856	100647672
4942199	100648889
9273218	100651950
4538010	100648768
498647	100637151
159355	100644562
3329566	100647416
3296529	100646147
1802934	100646080
121560	100645056
5725058	100649040
4056106	100647914
2950717	100646722
2105474	100646153
11972960	100657261
1800208	100646680
445100	100645485
4060191	100647914
2279930	100646361
137428	100645322
2263950	100645537
9929703	100647672
565984	100645485
9072471	100651469
11984175	100657261
4925353	100649040
4884749	100649040
1163090	100646087
3506084	100633200
1143918	100646087
5542176	100649202
799344	100645962
294218	100610402
2808063	100646722
4418880	100651847
4287062	100633200
294211	100633200
6187751	100649040
293936	100633200
2865876	100646872
4787072	100648768
8577937	100651469
3388634	100647416
1291537	100646153
10011951	100647745
251281	100637151
930	100644648
3416546	100633200
8199002	100651469
4956421	100649040
3706199	100647915
799160	100645940
4532657	100645338
1548547	100646087
2684196	100646722
1468934	100646153
9332752	100651950
12686541	100635560
10621003	100654204
4015649	100647243
7123111	100649503
547756	100645026
4528759	100648768
1347280	100646087
2864473	100646872
582495	100645485
604312	100633200
4965728	100649202
1480498	100646153
4249961	100648598
5938246	100649503
4892365	100648768
3795057	100647407
7100402	100650220
4994917	100648768
1287000	100646153
3323537	100637136
3314556	100637151
27822	100637151
699767	100645962
8732940	100647712
357322	100645133
13026349	100629430
4304296	100648593
3367567	100647710
1330085	100646153
5277186	100649202
8293675	100651469
7222124	100649821
5754736	100645359
46235	100645310
1034178	100646680
264045	100645398
2782655	100633200
4532525	100648768
1137	100633200
5895017	100649853
8192698	100651469
5790461	100649537
820866	100645282
1154046	100646080
5211715	100648886
4606878	100648768
2899743	100646722
7207905	100650220
1254520	100646153
2953893	100646872
9367810	100651913
2736276	100646722
10661984	100654204
8293455	100651469
5894943	100649646
955516	100646087
7155595	100650220
1124934	100646680
1124933	100636362
7117730	100646555
11971684	100657261
2730608	100646153
2676480	100646153
6033078	100649040
4503086	100648768
4854491	100649260
481900	100637151
12398013	100657261
1916800	100646680
296886	100458135
2738385	100646087
1119703	100646153
4190199	100648595
706050	100645448
8487441	100651469
4520750	100648768
2654110	100633200
2659347	100646960
109441	100645282
4843938	100648768
3799031	100647243
4888484	100649040
937842	100653323
497184	100645485
1267593	100646153
11001828	100655033
1201433	100646153
782714	100645962
4803156	100648768
160847	100644727
7342276	100650220
4220501	100648593
7578190	100646555
495113	100645483
609943	100645962
735743	100645483
946626	100646087
7069846	100650220
4940277	100649040
1018554	100633200
8283647	100651469
3697486	100633200
919287	100647226
1179077	100646153
4018915	100647416
2095412	100646087
3803413	100647825
6419823	100649537
942868	100646087
7662617	100650702
1528866	100646153
1066972	100646680
8227688	100650702
2548052	100646087
570860	100637151
570861	100632451
526396	100646116
3473060	100648251
8010588	100650633
11060208	100655938
839562	100645854
8236396	100651469
4496488	100648768
2757767	100633200
5132920	100649260
240686	100645205
2920204	100646722
5835214	100639505
1577788	100646680
2313411	100646680
2419551	100646153
878005	100649703
65953	100645322
4849957	100645081
3035210	100646905
3774372	100633200
493402	100645485
1604953	100646153
439505	100637151
515497	100634859
6063042	100633200
2707220	100633200
4593074	100648768
576296	100633200
8311780	100651469
16680	100644693
7234127	100650220
448646	100645485
3342007	100646872
166656	100644648
4786285	100649739
11128293	100655519
696900	100643946
8205233	100651469
4937957	100623025
1072565	100644648
7293189	100646555
5967220	100648380
10317162	100653403
2793516	100646722
8741766	100647712
5049688	100649260
1459874	100646722
7094645	100650220
4214743	100640893
4134934	100648331
173915	100645322
9389785	100652075
8273077	100651469
3849119	100637151
4077321	100647915
965779	100646087
4910774	100648768
2955266	100646080
608667	100634859
337885	100645448
201278	100644693
3562109	100647825
8288688	100651469
5032234	100649040
465838	100645485
6018672	100637175
2666638	100646722
11904636	100657261
2709485	100646080
9476620	100647672
2745544	100637151
7149371	100650220
1032508	100646087
1841660	100646153
2812286	100646722
223743	100645261
9313150	100640606
1838645	100646153
4978099	100649064
6859884	100649537
884517	100646097
7101944	100650220
2709623	100646722
2709152	100644625
490984	100645940
4971852	100648768
12697373	100651182
3747450	100633200
5807335	100649503
3234783	100646821
3932909	100647825
3883899	100647914
1741597	100646680
1342658	100646087
3354860	100637136
2079794	100646153
8310127	100651469
158926	100644648
11920809	100657261
7141960	100649503
9947617	100653403
1379435	100646153
5770466	100649537
524094	100634859
268795	100634859
1254590	100646153
2981281	100633200
516859	100645962
7607180	100644067
14303	100637151
212280	100645310
964557	100646153
7614874	100650220
685182	100637151
3314120	100637151
3255417	100646153
3568397	100647243
677411	100645495
1553681	100646087
268429	100645335
8319671	100647672
1182435	100646153
7084333	100644052
118567	100641375
987716	100637151
9269246	100647712
114232	100645282
4499172	100648768
3714804	100633200
1736498	100646087
7127551	100650630
1031880	100646087
6604071	100649537
9965526	100653403
11012150	100655181
4843547	100649040
294875	100637151
3471617	100647416
540517	100645495
3752848	100637136
5904336	100640893
7771088	100650702
6464912	100649646
5819271	100649537
11928353	100657261
370232	100645428
5959237	100649597
466922	100633200
3808004	100647915
13036144	100658797
1451795	100646722
7838981	100651934
653099	100645320
1638519	100646087
8221930	100651469
2048110	100646153
5920183	100649537
11904568	100657261
1373788	100646087
527548	100645495
8196393	100651469
95396	100645322
5047164	100649040
2660360	100646722
445832	100645485
1177071	100646680
560863	100645485
286073	100645137
1416437	100646153
7225292	100650220
1758952	100633200
952130	100633200
9456345	100647672
485400	100637151
6733	100637151
34708	100637151
2878934	100646153
334516	100634859
2687192	100633200
3006813	100646722
1773245	100646087
3240252	100646872
2002842	100645940
3712580	100648389
4499287	100648768
750654	100645940
11693031	100656591
2374076	100645978
1021834	100637151
9015199	100651469
4279776	100648593
5952577	100637175
4224265	100637175
6503428	100649202
4474979	100648402
1727499	100646087
8194086	100651469
508357	100633200
4734508	100648768
9316727	100651950
2003429	100646680
4851939	100648768
11366787	100656239
5560640	100632793
4577330	100648768
30712	100633200
312793	100645067
2370487	100646680
5718814	100640893
12687761	100658012
5934721	100649537
4607152	100648768
21850	100644748
4881859	100633200
3741313	100633200
253808	100633200
4978798	100648474
8440629	100651469
7083213	100649879
4525203	100648768
4631426	100648796
646148	100645133
3106598	100646872
7070045	100650220
9909517	100653403
9024786	100651469
5991077	100649537
299313	100634859
5975763	100463677
854154	100649853
1954958	100646680
5164675	100649040
105798	100633200
437620	100645485
6330504	100649537
575025	100645485
52550	100644648
9041168	100651469
12442576	100658012
218970	100644648
494101	100633200
2427460	100646153
12996655	100651182
8258289	100651469
3762553	100647915
2584060	100646680
942644	100646087
11719722	100656591
9295152	100647712
1962495	100645940
3372863	100637151
12389955	100652966
4249189	100637175
3567287	100647416
5579579	100649040
48678	100644648
7608501	100650220
270199	100634859
549954	100645962
4236445	100648568
2658104	100637151
3582494	100647825
709635	100645485
1737980	100634859
5713423	100649537
6042992	100649646
2967114	100637136
5479234	100649202
2694382	100388795
5712148	100649537
7219643	100650220
9029920	100651469
8385371	100651469
10144493	100653601
11936461	100642684
11095615	100651182
1847961	100646680
1356317	100646087
9521641	100647712
1382287	100646153
7717845	100651130
1400303	100633200
6413416	100649503
3193554	100637151
3699607	100647915
1041216	100646087
76793	100637151
1105798	100637151
3351434	100647825
3383192	100646965
1055428	100645338
1374887	100646153
1247533	100646722
1343922	100646680
3326456	100633200
3283108	100647435
3541387	100647416
3693603	100647825
9286168	100651950
1115451	100646153
8618642	100651469
7910202	100639468
3702417	100637151
7082972	100649700
9265163	100651934
10042654	100653403
9660961	100647712
249923	100645338
4851194	100648768
9571544	100647672
9453705	100652121
3449585	100647825
2102606	100646087
3747668	100637136
23035	100644648
9915279	100653403
5947660	100649646
8201805	100651469
1006004	100646147
3097146	100646153
4922889	100649040
4899365	100648768
2655423	100646872
558972	100634859
5754978	100649537
3054455	100646812
2912154	100646153
634657	100645105
4261675	100640893
2763350	100646872
872717	100645962
9270081	100651950
11979364	100657261
9523387	100647745
2675718	100646790
10004082	100653403
3934676	100647914
3963529	100647915
3459430	100647825
1240577	100646087
3289557	100646872
4210467	100637175
9744830	100652773
3787048	100647825
4510877	100648768
684337	100646058
1539525	100646153
6896606	100633200
96474	100641384
1827950	100646680
7595100	100650702
1911489	100646087
995035	100637151
625314	100633200
968286	100646087
4567523	100648768
3737673	100647915
2903966	100646153
2790881	100646722
1736115	100646087
9606922	100652418
1361147	100646087
4043436	100651469
314309	100645282
4849828	100649040
561179	100646965
696474	100645962
61298	100634859
11942194	100657261
11096331	100655420
873594	100645940
2689789	100646087
5839198	100649537
12068958	100657261
195	100644648
7672886	100651130
5198605	100649040
11067999	100653785
1773993	100646087
1347430	100646087
2743607	100646153
1205127	100637151
5387483	100649040
12958153	100658519
1347438	100645828
7688181	100644052
7691214	100650220
10440361	100629770
1021995	100633200
1412763	100646680
10504501	100653898
5731033	100649537
7127894	100650220
5055282	100649503
52303	100608327
1004568	100646087
8298344	100651177
7384216	100650220
3713741	100647915
10334	100645252
938738	100649048
7598230	100650220
3664172	100646905
1329602	100646087
1013772	100646087
2512326	100645972
3612913	100647710
4857183	100649040
7586765	100650702
754419	100637151
5050545	100649202
9275525	100651950
1674127	100646087
560565	100634859
4850618	100649040
9286313	100651950
717911	100645962
2666617	100646722
465816	100645485
3888958	100647825
2781769	100646722
491152	100633200
4547757	100648768
568508	100645474
5471262	100649202
2708550	100646722
7202180	100644052
1838887	100646087
1378287	100646087
4183173	100640893
1028026	100646087
1251524	100646087
2685789	100646722
10300977	100653403
7297828	100650220
11717481	100656418
9904428	100653403
7227902	100650220
736874	100645962
268225	100637151
5770986	100649537
3709523	100633200
570318	100645940
2677529	100646722
9066217	100651469
2667440	100633200
5895938	100649040
7594880	100650702
8304335	100651469
11066086	100653515
562569	100645495
2664921	100646722
71158	100637151
950044	100646153
570276	100645962
8315885	100642609
11377384	100651182
11135198	100655420
3559751	100647416
4193856	100633200
665562	100643680
3750091	100647914
1513777	100634859
370437	100633200
2737885	100646872
2878077	100637151
96282	100633200
10015850	100653403
2691360	100646722
7156966	100650220
11003428	100655271
7812008	100651130
4774821	100648768
519455	100634859
4600573	100648768
492215	100645530
11080773	100655420
495261	100646004
7931813	100650633
3356127	100637151
766986	100645962
1384753	100646281
2743591	100646722
1101911	100646087
302931	100617840
12957029	100651182
11078686	100655420
4930390	100649040
8682333	100651469
296676	100642596
4199951	100637175
5854449	100649537
737052	100645940
570487	100645854
9144051	100651920
1542074	100646153
8250772	100651469
113541	100633200
5394691	100648491
630507	100646695
406428	100344606
11357213	100656239
2659677	100646872
951775	100646087
9960810	100653403
7593272	100650220
3343256	100646872
977027	100646087
7117079	100646555
9635614	100264405
991037	100646087
2948635	100646722
11060903	100652262
3787084	100633200
5841000	100649537
580199	100645962
1602397	100646153
7112137	100650094
3020406	100646153
155767	100645322
493922	100646080
2131074	100646722
4169884	100637175
9482385	100647672
22150	100637151
2733774	100646153
5913211	100649503
8226878	100651469
7647701	100642618
2662870	100646872
1030808	100646680
1037679	100646153
5839696	100649537
8239299	100651469
8442609	100651469
8388215	100651469
1105916	100646087
498826	100637151
5725098	100649040
273559	100644748
1676732	100646153
5185705	100649202
1083675	100645962
1696230	100646087
7617309	100644067
130395	100644060
4992656	100640893
28841	100633200
11055499	100653515
5074389	100649040
4515426	100648768
5259166	100649202
7074033	100650220
10967298	100651182
2358329	100646117
1297969	100645940
678774	100645962
2929589	100646153
2723711	100646153
4982355	100648768
10653861	100654455
4852633	100640893
274981	100645338
1318754	100646680
10918303	100654455
966038	100646087
1550840	100646680
467740	100634859
3128239	100646872
9116678	100651469
1196961	100646680
3557972	100647825
1083182	100645906
251240	100637151
2174540	100646087
4522745	100633200
4922517	100649048
11917315	100657261
289152	100648474
8233198	100651469
1487013	100646680
985030	100646153
5830313	100649537
4950986	100649122
3110526	100646722
4991239	100648768
6453980	100649537
721116	100645962
4551900	100633200
622274	100633200
1599269	100646153
1721749	100646722
1740929	100646153
10453095	100653403
4218893	100648598
4165736	100640893
483266	100633200
605849	100645940
3073067	100646872
739700	100645962
5786891	100649537
8274301	100642618
9302079	100651950
4544697	100633200
1518910	100646153
12020456	100657025
233134	100646147
801977	100644112
1163233	100646722
1168889	100646153
1042164	100646087
374242	100645303
772075	100634859
7588480	100650220
5877765	100649040
1878215	100646087
4997977	100649040
6933417	100649202
2174587	100646087
360307	100633200
949796	100646087
9468524	100651950
4647866	100648411
5963804	100640893
8192388	100650702
2750190	100646722
7585623	100646555
2000416	100646087
86586	100645133
4582131	100648768
3791514	100647915
2588014	100646117
3706337	100637175
757490	100644578
5715587	100649537
273403	100645335
11917862	100657261
3729047	100647915
4128840	100648402
11152087	100655938
8615633	100651130
7570222	100654022
4836796	100648768
3362282	100637151
565387	100645485
1550335	100643321
4977232	100649202
2026699	100646153
4536884	100648768
1064256	100646153
5994760	100649537
3356240	100647237
3054797	100637136
11346273	100656239
4560260	100648799
7802544	100650702
5078038	100649202
11349478	100656239
4712218	100648768
2925756	100646872
8261954	100651469
11713649	100651182
10114732	100653403
4079154	100647914
299923	100634859
9698520	100652773
1786929	100646087
2728454	100646722
526029	100645485
4071366	100645322
2753165	100646722
9075162	100651469
11350906	100651182
524778	100633200
8189698	100651469
957402	100645962
4514803	100648768
8318915	100651469
1741862	100646087
966853	100646087
6207796	100362699
1461321	100646153
4785041	100648768
19079	100644821
7593640	100651130
2616433	100646153
1920502	100646087
4501706	100648768
3746516	100647915
7913262	100650702
27785	100641384
4090159	100647825
1308802	100646087
2239605	100646680
4609511	100648768
7639382	100651130
1447886	100576297
633948	100645485
1440352	100637151
10471684	100651182
5773638	100649040
10657430	100654204
4371385	100648735
7796908	100650702
639347	100637151
3549436	100647710
9020746	100651469
4006316	100647825
5168425	100649260
1165599	100646087
8429584	100651469
2686766	100646153
1013575	100646009
3710364	100637175
501762	100634859
4931136	100649040
9024629	100651469
2718901	100646722
434863	100637151
269809	100645448
741293	100644619
7159990	100650220
5049535	100649040
597032	100645335
4504013	100648768
1497826	100646153
9942525	100653403
3161758	100647087
10648333	100654204
42406	100645303
2225332	100646087
4908814	100648768
2867429	100633200
847441	100645485
532695	100645962
1775437	100646153
5228023	100649202
9138334	100651130
3245277	100647859
436316	100645169
2364961	100646680
4725428	100648598
1120870	100646087
2459224	100645940
4134979	100648472
10653546	100654455
4440097	100648598
2544509	100646153
473564	100633200
12388253	100657261
7979692	100644052
8563958	100651469
586431	100634859
5738707	100649537
909623	100637136
8371254	100651469
478649	100645485
3371528	100647226
7581772	100651130
3613185	100647710
3390430	100637151
11102618	100651182
8423160	100647712
5281810	100649260
135864	100645026
3774802	100647915
7440705	100650220
4682469	100647243
3053262	100644305
554506	100633200
10912638	100651182
5197549	100649202
2783393	100646722
1846955	100646087
9480880	100651410
10912984	100651182
9054590	100651291
9038287	100651469
5299232	100649040
3513865	100492828
2546162	100646153
1167050	100637151
6054876	100649537
469865	100637151
3779177	100647915
7789232	100650702
5886181	100646463
947869	100646722
535784	100645485
4841046	100648830
8436530	100651469
508950	100645485
1285858	100646087
788276	100634859
719491	100623051
1234283	100646722
980902	100646087
4029476	100647698
5918449	100649646
9469974	100651265
750770	100645338
2850289	100646153
8293578	100651469
7151442	100650220
7594860	100651130
522033	100645067
3120996	100646872
3355997	100633200
2266443	100646087
12683104	100651182
996107	100646087
4079363	100647825
659045	100645485
538595	100645962
8287814	100651469
2726461	100646153
3313315	100647575
5163949	100637175
9127733	100651469
7111931	100650220
591699	100645448
548547	100633200
6646967	100649202
1123579	100633200
3612320	100637136
4984232	100649260
1439302	100646153
1970187	100646087
66396	100645322
306233	100633200
11397711	100651182
272419	100634859
9279319	100651950
858081	100645483
826407	100645801
1637023	100646153
7107582	100650220
11059259	100446085
4274067	100633200
850535	100645485
15697	100522288
9674209	100652267
3103838	100646722
1148787	100646087
6087718	100649537
607381	100645485
8387746	100651469
3027889	100646153
3754754	100647915
2284262	100646153
2403090	100646680
279747	100634859
1944894	100646087
1437115	100633200
110717	100645047
1238703	100645962
127942	100645282
593692	100645485
3590416	100647710
606385	100634859
4552137	100640893
629332	100645962
5856533	100646555
3365391	100647243
1974405	100586804
10901581	100651182
7621482	100650702
2660496	100646722
7646497	100650220
3765770	100647915
11687827	100657085
11721519	100651182
642442	100645485
6284936	100649040
2825860	100646153
4018654	100648148
617556	100637151
11915199	100657261
4366930	100640893
4569586	100648768
716572	100645962
2762681	100636362
9940841	100653403
2970764	100646872
5990020	100649537
8189778	100651469
10638337	100651182
2495901	100645940
634336	100645485
10429942	100653403
2568073	100644625
1174405	100646153
